Source,Target,Weight,Timestamp
866,866,1,11
866,1096,1,12
870,978,1,16
872,872,3,3
872,1374,4,3
874,828,1,11
879,774,1,4
879,879,1,4
882,70,1,5
884,1,1,5
884,30,1,5
884,150,1,8
884,835,1,13
887,49,2,16
890,24,1,7
891,891,4,11
892,892,1,7
892,1077,1,7
892,1561,1,7
893,893,2,4
895,1615,1,5
902,1,1,15
904,1,2,15
904,2,2,15
904,5,2,15
904,107,1,10
904,389,1,12
905,5,15,1
906,906,1,17
907,1,2,3
907,30,1,4
907,222,4,1
910,1,1,6
910,26,1,9
910,30,2,6
910,123,1,4
910,910,1,8
910,1274,1,10
912,912,1,7
915,915,2,13
916,1325,1,14
916,1373,1,14
917,917,1,3
917,1134,2,3
918,282,1,11
918,918,1,16
919,919,2,4
920,267,1,1
921,848,1,11
922,483,2,10
922,730,1,5
922,922,1,8
922,1598,1,10
930,2,1,7
930,95,1,7
930,930,1,11
932,118,1,8
934,934,2,9
935,255,4,4
935,1184,1,6
939,939,2,7
940,940,1,10
941,941,2,4
943,1,2,15
943,508,1,15
944,143,1,16
944,770,1,15
945,945,1,7
945,1403,1,7
946,436,1,15
946,946,2,15
947,1,2,3
947,41,1,2
947,80,1,15
947,216,1,16
947,365,1,5
948,6,1,1
948,12,1,1
949,309,4,7
949,949,1,7
952,952,3,7
952,1532,3,7
955,771,3,8
956,956,1,2
957,1,3,12
957,35,2,12
957,98,2,12
957,1591,4,15
962,6,1,13
963,723,1,2
963,963,2,2
965,962,1,13
965,965,2,4
966,594,1,10
968,343,1,1
969,6,62,8
969,13,13,9
969,115,1,9
969,198,2,10
969,478,1,13
969,1508,1,9
970,970,2,3
971,971,1,11
977,93,1,17
977,429,1,9
977,1225,1,7
977,1228,1,17
979,331,1,14
980,32,1,15
980,501,1,15
981,546,1,16
984,431,4,5
986,986,2,2
989,989,1,16
990,2,1,6
990,5,1,6
992,992,1,16
996,996,1,10
997,66,1,9
997,997,1,4
1003,1003,1,6
1005,1005,1,5
1006,14,1,10
1024,1024,1,9
1027,1027,2,14
1028,359,1,17
1032,1,1,16
1033,765,1,15
1033,1033,2,16
1035,1,2,6
1035,30,1,13
1036,56,1,17
1036,104,1,17
1037,1037,1,10
1038,1038,1,9
1041,761,1,17
1042,1,2,15
1042,89,1,15
1042,1408,3,5
1051,1051,1,10
1053,796,3,7
1053,1053,3,7
1055,177,1,15
1055,229,1,15
1056,1056,1,13
1056,1505,1,13
1057,1057,2,13
1061,300,2,11
1061,1061,5,10
1062,1062,1,5
1064,1064,4,7
1067,1067,3,15
1067,1108,4,15
1068,1068,1,13
1070,1070,1,3
1072,32,1,15
1072,74,1,16
1073,808,3,4
1073,1073,3,4
1074,84,1,8
1074,616,1,3
1074,895,1,3
1074,1001,1,3
1077,892,1,6
